Sector,Year,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
PUBLIC,2016 - 2017,Region I - Ilocos Region,1003,2988,1534,2005,2692,1932,6939,7942,0,0,13550,10856,32,17,66,69,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region II - Cagayan Valley,621,1736,1094,1301,1691,1659,5506,6412,0,0,6040,5244,81,54,44,34,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region III - Central Luzon,2582,5881,2515,4049,4050,2653,8299,9076,60,20,20978,15319,167,57,54,70,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region IV-A - CALABARZON,2925,7112,3288,4876,4078,2753,6369,7587,0,0,21358,15219,62,17,117,135,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region IV-B - MIMAROPA,525,1663,908,1192,1248,1045,5054,6126,0,0,6835,5767,81,47,115,135,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region V - Bicol Region,937,2505,701,1480,1145,1062,10750,14518,0,0,17167,14723,97,60,150,164,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region VI - Western Visayas,1168,3920,2653,4625,1586,1483,11119,12769,0,0,22463,17255,57,25,69,128,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region VII - Central Visayas,928,2706,1530,2788,1773,1555,7136,9508,0,0,15348,13846,71,53,43,75,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region VIII - Eastern Visayas,1194,2325,3338,4534,1053,834,6650,7865,0,0,13512,11001,35,23,18,12,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region IX - Zamboanga Peninsula,392,1193,633,1212,588,791,2823,4099,0,0,6926,5908,41,23,28,58,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region X - Northern Mindanao,751,2042,1257,1905,678,640,3820,5415,0,0,10612,8305,37,12,80,56,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region XI - Davao Region,346,1020,744,1396,536,555,3081,4490,0,0,9585,8226,5,4,40,47,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,Region XII - Soccsksargen,730,2004,2688,4694,1162,981,2584,3453,0,0,11932,8418,111,64,71,92,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,CARAGA - CARAGA,337,570,512,1015,659,751,2863,3664,0,0,7266,5384,20,9,7,17,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,377,529,347,535,272,493,2247,3574,0,0,2679,3154,15,16,41,28,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,CAR - Cordillera Administrative Region,202,547,623,763,625,607,1034,1524,0,0,2630,2127,26,9,32,62,,,,,,,,,,,,,,,,
PUBLIC,2016 - 2017,NCR - National Capital Region,1870,4000,868,1314,2660,2155,2701,3087,0,0,8784,6319,144,61,139,161,,,,,,,,,,,,,,,,
PUBLIC,2017 - 2018,Region I - Ilocos Region,1252,3297,2772,3481,1901,2036,8120,7943,0,0,12662,10313,17,1,104,80,991,3086,1422,1950,2501,1904,6083,7268,0,0,11843,9798,23,13,62,57
PUBLIC,2017 - 2018,Region II - Cagayan Valley,854,2166,1823,1953,1484,1569,5178,5485,0,0,6386,5673,78,30,52,41,503,1560,991,1213,1546,1559,4604,5665,0,0,5684,5097,80,48,39,33
PUBLIC,2017 - 2018,Region III - Central Luzon,2441,5531,3329,4961,2973,2537,8833,9072,43,17,19807,15201,103,52,52,75,2239,5382,2201,3560,3735,2503,7054,8133,57,19,17210,13037,117,42,44,62
PUBLIC,2017 - 2018,Region IV-A - CALABARZON,3194,7312,5718,7560,2363,2248,6369,7287,43,9,20741,14690,98,46,93,80,2685,6663,3155,4677,3738,2557,5477,6602,0,0,18376,13495,57,15,93,106
PUBLIC,2017 - 2018,Region IV-B - MIMAROPA,496,1367,1279,1687,940,940,5190,6371,0,0,6304,5835,88,50,96,91,477,1568,806,1092,1113,931,4227,5363,0,0,5682,4923,80,55,102,123
PUBLIC,2017 - 2018,Region V - Bicol Region,980,2612,1104,2034,1301,1402,11553,15449,0,0,16769,14703,93,48,189,182,898,2366,654,1412,1155,1052,9352,13292,0,0,14638,13219,61,58,175,192
PUBLIC,2017 - 2018,Region VI - Western Visayas,1095,3867,4478,7126,1598,1784,10295,10610,0,0,20354,16604,60,29,66,94,1069,3605,2345,4260,1543,1475,9312,11405,0,0,18945,15090,51,24,65,107
PUBLIC,2017 - 2018,Region VII - Central Visayas,895,2302,2072,3656,1345,1512,9110,11388,0,0,16282,14268,88,74,87,78,809,2511,1380,2641,1628,1508,7104,9722,0,0,14241,13141,65,59,39,68
PUBLIC,2017 - 2018,Region VIII - Eastern Visayas,804,2040,3744,5225,1220,947,6455,8153,0,0,11835,10101,1,1,11,3,1020,2072,2828,4088,1044,818,5600,7034,0,0,11233,9548,34,20,15,13
PUBLIC,2017 - 2018,Region IX - Zamboanga Peninsula,397,1174,1190,1903,593,803,3009,4467,0,0,6922,6010,28,19,33,45,354,1114,560,1093,511,677,2464,3513,0,0,5647,4915,28,20,35,58
PUBLIC,2017 - 2018,Region X - Northern Mindanao,665,1999,1606,2620,594,690,3552,5215,0,0,8815,6708,56,39,68,113,645,1796,990,1702,618,599,3032,4642,0,0,8932,7131,29,9,66,43
PUBLIC,2017 - 2018,Region XI - Davao Region,306,899,1064,1871,493,601,3438,5078,0,0,9564,8519,8,0,42,66,272,939,644,1172,503,546,2685,4114,0,0,7814,6896,5,4,48,29
PUBLIC,2017 - 2018,Region XII - Soccsksargen,625,1769,3535,5713,943,1029,2368,3461,0,0,10101,7762,104,61,69,104,626,1786,2432,4233,1089,948,2030,2898,0,0,8980,6724,81,53,56,64
PUBLIC,2017 - 2018,CARAGA - CARAGA,468,933,1032,1459,735,911,3297,4056,0,0,7181,5635,35,4,15,27,288,614,497,995,629,735,2601,3431,0,0,6379,4785,16,9,13,26
PUBLIC,2017 - 2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,360,515,385,633,288,432,2296,3603,0,0,2435,2665,22,22,20,33,319,477,356,531,236,466,1971,3158,0,0,2362,2757,9,11,21,17
PUBLIC,2017 - 2018,CAR - Cordillera Administrative Region,267,645,741,1020,372,533,1162,1506,0,0,2471,2223,27,16,23,38,178,454,515,721,510,554,902,1401,0,0,2171,1857,24,8,25,59
PUBLIC,2017 - 2018,NCR - National Capital Region,2119,4199,1484,2470,2503,2385,3275,2991,0,0,9854,6772,103,42,131,190,1794,3869,849,1370,2667,2142,2433,2797,0,0,7465,5485,108,52,121,125
PUBLIC,2018 - 2019,Region I - Ilocos Region,1132,3453,4227,5145,2589,2694,7481,7224,0,0,14688,11109,0,0,111,85,1203,3266,2761,3514,2038,2109,7620,7738,0,0,11896,9752,16,1,104,76
PUBLIC,2018 - 2019,Region II - Cagayan Valley,812,2348,3299,3628,1849,1969,4701,5257,0,0,7642,5981,84,51,85,78,804,2100,1849,2072,1534,1618,4541,5107,0,0,6270,5510,77,32,65,47
PUBLIC,2018 - 2019,Region III - Central Luzon,3039,6827,5281,7228,3616,3185,9768,9338,75,7,21908,15208,136,61,57,57,2416,5665,3236,4974,3140,2682,8428,8761,35,13,18566,14253,112,56,54,54
PUBLIC,2018 - 2019,Region IV-A - CALABARZON,3791,8703,8154,10248,3412,3316,5713,6033,47,6,23319,16065,135,62,193,207,3303,7511,5655,7741,2615,2449,5913,6986,35,8,19531,13796,126,71,132,124
PUBLIC,2018 - 2019,Region IV-B - MIMAROPA,623,1629,2188,2806,1277,1308,5300,6290,0,0,7525,6379,89,47,95,105,469,1276,1136,1546,925,932,5007,6180,0,0,5664,5305,78,34,92,85
PUBLIC,2018 - 2019,Region V - Bicol Region,1292,3191,1795,3140,1708,1948,13341,18319,32,9,19140,15026,80,46,196,267,962,2654,1071,2040,1361,1444,11156,15366,0,0,15444,13672,80,46,210,201
PUBLIC,2018 - 2019,Region VI - Western Visayas,1479,4971,7227,10917,2312,2670,7451,7186,0,0,24751,17988,67,78,88,140,1130,3991,4564,7347,1653,1867,8623,9338,0,0,18744,15523,48,28,53,77
PUBLIC,2018 - 2019,Region VII - Central Visayas,1113,3026,3303,5706,1562,1846,10203,11820,26,5,19569,14921,83,66,86,124,867,2429,2175,3926,1378,1598,8562,10707,32,0,15782,13854,73,74,92,105
PUBLIC,2018 - 2019,Region VIII - Eastern Visayas,1064,2240,4523,6589,1326,1164,7654,9057,0,0,14470,11444,73,60,16,22,816,2006,3615,5144,1173,941,6110,7876,0,0,11133,9508,19,19,46,21
PUBLIC,2018 - 2019,Region IX - Zamboanga Peninsula,531,1543,2410,4044,852,1177,1874,2450,0,0,10768,8993,28,44,51,62,404,1215,1235,2032,638,841,2738,4102,0,0,6575,5835,23,20,18,19
PUBLIC,2018 - 2019,Region X - Northern Mindanao,923,2539,3059,4472,879,1075,3861,5251,0,0,10876,7923,109,56,64,63,586,1922,1579,2644,610,714,3365,5005,0,0,8339,6408,60,41,48,71
PUBLIC,2018 - 2019,Region XI - Davao Region,528,1485,1922,3095,782,943,3666,5609,0,0,12524,10590,13,0,52,58,329,980,1017,1900,585,713,3265,4894,0,0,9100,8167,8,0,48,78
PUBLIC,2018 - 2019,Region XII - Soccsksargen,835,2155,5189,8083,1313,1531,2008,2571,0,0,12742,8892,98,41,97,135,570,1731,3551,5748,1004,1071,2064,3033,0,0,9068,6989,89,59,62,96
PUBLIC,2018 - 2019,CARAGA - CARAGA,568,1236,1623,2215,996,1317,3711,4785,0,0,8857,6087,43,18,40,34,475,990,1001,1463,773,968,3063,3978,0,0,7023,5398,26,4,15,28
